"Chinese","Pinyin","English","Part of Speech","HSK Level"
"开花","kāihuā","to bloom","v.","HSK 3"
"开会","kāihuì","to hold a meeting","v.","HSK 3"
"开机","kāijī","to turn on","v.","HSK 3"
"开心","kāixīn","happy","adj.","HSK 3"
"看来","kànlái","apparently; it seems","v.","HSK 3"
"可","kě","but; however","conj.","HSK 3"
"渴","kě","thirsty","adj.","HSK 3"
"可爱","kě'ài","adorable; cute","adj.","HSK 3"
"可是","kěshì","but; however","conj.","HSK 3"
"刻","kè","quarter (hour)","m.w.","HSK 3"
"课本","kèběn","textbook","n.","HSK 3"
"客人","kèrén","visitor; guest","n.","HSK 3"
"课文","kèwén","text","n.","HSK 3"
"空调","kōngtiáo","air conditioner","n.","HSK 3"
"哭","kū","to cry; to weep","v.","HSK 3"
"筷子","kuàizi","chopsticks","n.","HSK 3"
"矿泉水","kuàngquánshuǐ","mineral water","n.","HSK 3"
"来自","láizì","to come from","v.","HSK 3"
"蓝","lán","blue","adj.","HSK 3"
"老","lǎo","old; venerable","adj.","HSK 3"
"老人","lǎorén","old person; the elderly","n.","HSK 3"
"离开","líkāi","to depart; to leave","v.","HSK 3"
"礼物","lǐwù","gift; present","n.","HSK 3"
"历史","lìshǐ","history","n.","HSK 3"
"脸","liǎn","face","n.","HSK 3"
"练","liàn","to practice; to train","v.","HSK 3"
"练习","liànxí","to practice; exercise","v.","HSK 3"
"凉快","liángkuai","pleasantly cool","adj.","HSK 3"
"辆","liàng","m.w. for vehicles","m.w.","HSK 3"
"聊","liáo","to chat","v.","HSK 3"
"聊天儿","liáotiānr","to chat","v.","HSK 3"
"了解","liǎojiě","to understand; to find out","v.","HSK 3"
"邻居","línjū","neighbor","n.","HSK 3"
"留学","liúxué","to study abroad","v.","HSK 3"
"留学生","liúxuéshēng","international student","n.","HSK 3"
"楼梯","lóutī","stair; staircase","n.","HSK 3"
"路边","lùbiān","roadside","n.","HSK 3"
"路口","lùkǒu","crossing; intersection","n.","HSK 3"
"马","mǎ","horse","n.","HSK 3"
"马路","mǎlù","street; road","n.","HSK 3"
"马上","mǎshàng","at once; right away","adv.","HSK 3"
"满意","mǎnyì","satisfied; pleased","v.","HSK 3"
"毛","máo","mao (currency unit)","m.w.","HSK 3"
"米","mǐ","meter; rice","m.w.","HSK 3"
"面前","miànqián","in front of; facing","n.","HSK 3"
"明白","míngbai","clear; to understand","adj.","HSK 3"
"名单","míngdān","list of names","n.","HSK 3"
"名人","míngrén","celebrity","n.","HSK 3"
"南","nán","south","n.","HSK 3"
"难","nán","difficult","adj.","HSK 3"
"南方","nánfāng","the south","n.","HSK 3"
"难过","nánguò","sad; upset","adj.","HSK 3"
"难看","nánkàn","ugly; unsightly","adj.","HSK 3"
"男人","nánrén","a man; male","n.","HSK 3"
"男生","nánshēng","male student; boy","n.","HSK 3"
"难题","nántí","difficult problem","n.","HSK 3"
"难听","nántīng","unpleasant to hear","adj.","HSK 3"
"年级","niánjí","grade; year","n.","HSK 3"
"年轻","niánqīng","young","adj.","HSK 3"
"牛","niú","cow; awesome","n.","HSK 3"
"努力","nǔlì","to make an effort; hardworking","adj.","HSK 3"
"女人","nǚrén","woman","n.","HSK 3"
"女生","nǚshēng","female student; girl","n.","HSK 3"
"爬","pá","to crawl; to climb","v.","HSK 3"
"怕","pà","to be afraid; to fear","v.","HSK 3"
"拍照","pāizhào","to take a photo","v.","HSK 3"
"盘子","pánzi","plate","n.","HSK 3"
"胖","pàng","fat; plump","adj.","HSK 3"
"啤酒","píjiǔ","beer","n.","HSK 3"
"平时","píngshí","usually; in everyday life","n.","HSK 3"
"瓶子","píngzi","bottle","n.","HSK 3"
"骑","qí","to ride","v.","HSK 3"
"奇怪","qíguài","strange; odd","adj.","HSK 3"
"其实","qíshí","actually; in fact","adv.","HSK 3"
"其他","qítā","other; the rest","pron.","HSK 3"
"起","qǐ","to rise","v.","HSK 3"
"起飞","qǐfēi","to take off","v.","HSK 3"
"汽车","qìchē","car; automobile","n.","HSK 3"
"铅笔","qiānbǐ","pencil","n.","HSK 3"
"前年","qiánnián","the year before last","n.","HSK 3"
"前天","qiántiān","the day before yesterday","n.","HSK 3"
"清楚","qīngchu","clear; distinct","adj.","HSK 3"
"请假","qǐngjià","to request leave","v.","HSK 3"
"请客","qǐngkè","to treat someone","v.","HSK 3"
"秋天","qiūtiān","autumn","n.","HSK 3"
"球场","qiúchǎng","stadium; court","n.","HSK 3"
"裙子","qúnzi","skirt","n.","HSK 3"
"然后","ránhòu","then; after that","conj.","HSK 3"
"热情","rèqíng","enthusiastic; passion","adj.","HSK 3"
"认得","rènde","to recognize; to know","v.","HSK 3"
"认为","rènwéi","to believe; to think","v.","HSK 3"
"认真","rènzhēn","earnest; serious","adj.","HSK 3"
"容易","róngyì","easy; straightforward","adj.","HSK 3"
"如果","rúguǒ","if; in case","conj.","HSK 3"
"伞","sǎn","umbrella","n.","HSK 3"
"扫","sǎo","to sweep","v.","HSK 3"
"沙发","shāfā","sofa","n.","HSK 3"
"山","shān","mountain; hill","n.","HSK 3"
"上衣","shàngyī","jacket; upper garment","n.","HSK 3"
"勺子","sháozi","spoon","n.","HSK 3"
"身边","shēnbiān","at one's side","n.","HSK 3"
"身高","shēngāo","height","n.","HSK 3"
"声","shēng","sound; voice","n.","HSK 3"
"生活","shēnghuó","to live; life","n.","HSK 3"
"生气","shēngqì","to get angry","v.","HSK 3"
"声音","shēngyīn","voice; sound","n.","HSK 3"
"市","shì","market; city","n.","HSK 3"
"试","shì","to test; to try","v.","HSK 3"
"室","shì","room","n.","HSK 3"
"世界","shìjiè","world","n.","HSK 3"
"收","shōu","to receive; to collect","v.","HSK 3"
"收到","shōudào","to receive","v.","HSK 3"
"受","shòu","to receive; to suffer","v.","HSK 3"
"瘦","shòu","thin","adj.","HSK 3"
"受到","shòudào","to receive","v.","HSK 3"
"叔叔","shūshu","uncle","n.","HSK 3"
"树","shù","tree","n.","HSK 3"
"数学","shùxué","math","n.","HSK 3"
"刷","shuā","to brush; to swipe","v.","HSK 3"
"双","shuāng","two; pair","m.w.","HSK 3"
"水平","shuǐpíng","level; standard","n.","HSK 3"
"司机","sījī","driver; chauffeur","n.","HSK 3"
"四季","sìjì","the four seasons","n.","HSK 3"
"太阳","tàiyáng","sun","n.","HSK 3"
"糖","táng","sugar; candy","n.","HSK 3"
